Date,Content,Attachments
2022-09-19 12:58:23.134000-04:00,": We will be having our first BUIDL workshop today at 8pm in the Workshops & Meetings voice channel under BUIDL, covering a framework and database we will be using for the projects, Next.js and Moralis. Feel free to look into them before the workshop!",
2022-09-19 13:15:02.617000-04:00,"All BUIDL members take note of the new BUIDL section of the Discord server, which we will be using for our communications !",
2022-09-19 13:40:28.871000-04:00, Team Check out the new Research section of the Discord,
2022-09-19 19:00:13.533000-04:00," For those of you interested in Blockchain development or even website development, make sure to tune in and follow the workshop at 8pm today! Here is an overview of what we'll be covering for those of you that are curious. What we will be building: A simple Ethereum Block Explorer. A Block Explorer is a website where anyone can access any transaction that has ever occurred on chain. Tools: Next.js, Ethers.js & Moralis. Content: Next.js and Ethers.js Understand Next.js Folder structure Build React Components - Focus on only Block Results Create data extraction script in api/explorerData Display Results in Front-End Moralis Storing, Querying, and getStaticProps() Store some data in Moralis DB (not a block explorer anymore) Query data and use for getStaticProps() Display props in frontend",
2022-09-19 19:57:30.944000-04:00,The workshop will be starting shortly!,
2022-09-24 12:05:55.944000-04:00,"Hey everyone, we'll have a Solidity workshop at 2pm today! Workshops & Meetings voice channel (under BUIDL). Those of you interested in learning Solidity + Ethereum Development should definitely tune in ",
2022-10-10 12:37:04.057000-04:00,"Hi all, Venture studio High Alpha and one of their in house startups founder, Connor Kelley - https://www.flauntnft.xyz/ - will be coming to speak with us this Wednesday, 6:30pm, at WALC 1087. If youre interested in the startup space, a SWE, and looking for opportunities the upcoming summer, they are looking to hire from Purdue's brightest!! Please be there 10 mins early!!! We will start at 6:30pm sharp!",
2022-10-26 14:38:31.556000-04:00,Hi all! We will be bowling tonight for our Social gathering. Food and Drinks will be served! Hope to see you all there!,https://cdn.discordapp.com/attachments/892451425039310913/1034898842124038154/Social_Event.png?ex=68fbc7a7&is=68fa7627&hm=50284b1297742a3a3d3854b932894d42be27612e1df4531bdc680a3b4f6c4474&
2022-10-27 15:41:47.763000-04:00,"Hey ! This Sunday @ 10:00 AM we're having our first revamped Crypto Cafe of the semester. It's going to be in KRACH 230. We'll be having Coffee and Donuts provided by this month's industry professional Zach Zeurcher from Gr Space. He's driving in from Indy to talk a bit about the project, let people custom-make some NFTs before the upcoming launch, and explain a few opportunities for web3 developers. He'll be doing a short presentation, and answering some questions. After that, the rest of the time will just be spent talking about crypto and hanging out. Read more about Gr: https://gravityspacemarketing.com/ https://www.linkedin.com/in/zach-zeurcher-6283b98b/ Crypto Cafe #1 Sunday from 10:00 AM-12:00 PM KRACH 230 I'll be sending out some more information later DM me with questions.",
2022-10-30 23:27:52.210000-04:00,"Hi all, Professor Zikas - https://www.cs.purdue.edu/homes/vzikas/ is starting a Blockchain Technologies seminar course. This Monday he will be giving a talk on smart contract writing on Algorand blockchain. This will be an interactive hands-on session in which he'll write a simple contract during the session (audience are welcome to follow along on their own machines and ask questions). Everyone is welcome to attend. When: Monday, Oct 31, 2022 at 2:30pm Where: LWSN 1106 For those who want to join in virtually, here's the zoom link: https://purdue-edu.zoom.us/j/91817312903?pwd=NFNKeHoyZlV2aVp3ZUdwRzRHR3Fhdz09",
2022-11-03 12:40:46.625000-04:00,"Hey ! **This Friday** (11/4) we’re hosting a__ Crypto Options Presentation __with a live speaker, who will be speaking about crypto options among a few other things. He currently works for Parallax, one of the world’s biggest crypto options trading firms. If you’re interested in attending, please fill out this Google Form: https://docs.google.com/forms/d/1MwJk0e3eHG0VaB7KjyLRMrwgmHaIGw31TQh-YMpFQUk/edit __Details:__ -This Friday (11/4/2022) -5:00PM – 6:00PM - 260 -What: Crypto Options Presentation",
2022-11-10 18:33:06.811000-05:00,Hey everyone! Check out the Boiler Blockchain Medium page for a new article by the Research Branch on the the SEC vs Ripple case https://boilerblockchain.medium.com/sec-vs-ripple-the-hinman-documents-released-6a3d47626c9a?source=friends_link&sk=b94700d89ec3f7670108cf50f8c9c030,
2022-11-29 00:35:34.950000-05:00,Hi all! Hope everyone had a great thanksgiving! This Wednesday 11/30 at 630pm we are proud to welcome Kurt Wedgewood from IBM to speak with us on Enterprise Blockchains. This will be our final guest speaker and meeting of the semester. We will be having some closing remarks and presentation to close off the semester. We look forward to seeing everyone there! Food will be served.,https://cdn.discordapp.com/attachments/892451425039310913/1047022995543171092/Guest_Crypto_Cafe_1.png?ex=68fbb8e6&is=68fa6766&hm=ab22468baedcb18d094ce59a6548350849c84c83918975e1cc64972224005f78&
2022-11-30 18:25:59.820000-05:00,"For anyone who cant come in person to the meeting, you can join us live here https://purdue-edu.zoom.us/j/96616168092?pwd=THpjdVluWkxoakpqQVV4R09yeTBrdz09",
2022-12-02 15:10:03.661000-05:00,Recording: https://www.youtube.com/channel/UCM7aRddzgTdmpXh6IjouAhg,
2022-12-08 15:41:24.092000-05:00,"Hi all, hope everyone is doing well during Quiet Week. Looking for a short break from your studies? There is a short special seminar presented by the Office of the Executive Vice President for Research and Partnerships and The Center for Education and Research in Information Assurance and Security (CERIAS) on Friday, December 9. A virtual attendance option has also been included Friday, December 9, 2022 WALC 3122 11:30 am – 12:30 pm In-person or virtually via Zoom Join us for a seminar featuring T. Charles Clancy, PhD, Senior Vice President at MITRE Pizza will be served in person. RSVP at this link<https://purdue.ca1.qualtrics.com/jfe/form/SV_8uIbXltoi6NjHym>. Title: Emerging Security Needs for Web3 Abstract: Decentralized technologies are an exciting approach for future Internet services and architectures. For the past few years, decentralized finance (DeFi) systems that have proliferated have been subjected to significant exploitation. This talk will walk through the emerging tactics, techniques, and procedures (TTPs) for exploiting blockchain infrastructure and smart contracts, and their impact on DeFi services. We will then explore lines of research necessary to fortify infrastructure to create a secure and resilient footing for broader decentralized web3 services. Speaker: T. Charles Clancy, PhD Bio: Charles Clancy is a Senior Vice President at MITRE where he leads science, technology, and engineering for the non-profit research institution. Previously he served as the Bradley Distinguished Professor of Cybersecurity in the Department of Electrical and Computer Engineering at Virginia Tech, where he led the university’s security-focused research programs. He started his career as a researcher at the National Security Agency. Clancy is a Fellow of the IEEE for “technical leadership of secure and wireless communications”. He received his PhD in CS from UMD, MS in EE from UIUC, and BS in CompE from Rose-Hulman. Hope to see some of you there!",
2023-01-11 16:13:58.752000-05:00,"Hi !!! We have some very exciting news this semester. Some of our members have been tirelessly working on delivering this since the start of summer 2023. We have officially launched Purdue's first blockchain course available to all students. Upon passing the course, students will receive a Purdue Certificate that you can use when applying to opportunities beyond Purdue. If you have any questions, feel free to ask in the general_chat. Please share with your peers and classmates!",https://cdn.discordapp.com/attachments/892451425039310913/1062841828862345246/Blockchain_Course_Flyer_1.png?ex=68fbec16&is=68fa9a96&hm=ad2b9b9e4288d87f388d193d674911ca814d9cb7acc4fbdb0010b4cca4df2052&
2023-01-11 18:44:33.044000-05:00," We are launching TWO **OFFICIAL BLOCKCHAIN CERTIFICATES** with PURDUE ECE:TheP: x :BBSticker: INFO SESSIONS (AMA) - WANG HALL 2579 - THURSDAY 12, 6pm - TUESDAY 17, 6pm We will go over schedule, assignments, hours, opportunities etc... Few things here: Goal is to give YOU skills so YOU can get a JOB in the field whether it is pursuing your own project or working for a large company. STUDENTS will have access to leading speakers we will bring to campus, from LARGE BLOCKCHAINS, ALUMNI, STARTUPS, VCs, DEVELOPERS **INTRO TO BLOCKCHAIN** - For non-technical folks, no PREVIOUS KNOWLEDGE REQUIRED! - Will touch on every aspect of the field as well as current news by our RESEARCH TEAM Sign Up: https://eventreg.purdue.edu/online/BlockchainIntro **BLOCKHAIN PRINCIPLES (TECHNICAL)** - Get to build your own DApp/Protocol in a team - Opportunities to pitch to Web3 VCs and CEOs at end of semester as well as Acceleration Programs (if you want to keep developing) Sign Up:https://eventreg.purdue.edu/online/BlockchainPrinciples Follow developments here: https://linktr.ee/BoilerBlockchain",
2023-01-17 10:48:07.544000-05:00,Hi Callouts TODAY and THURSDAY!!!! Come learn more about the courses we are offering and furthermore about Boiler Blockchain and how YOU can get involved. Applications can be found here: https://linktr.ee/BoilerBlockchain,https://cdn.discordapp.com/attachments/892451425039310913/1064934152870309909/Boiler_Blockchain_Flyer.png?ex=68fb9fb7&is=68fa4e37&hm=4514f5cb21f4baf5bd6a584c11041f74ff3cbdc1aab03d508990229c21517542&
2023-01-19 11:05:20.670000-05:00,"Hi ! Reminder that our final callout and info session will be today. Sign ups for the courses and the organization will end this weekend on Sunday, 1/22, 11:59pm. Applications found here: https://linktr.ee/BoilerBlockchain",https://cdn.discordapp.com/attachments/892451425039310913/1065663261829255218/Boiler_Blockchain_Flyer.png?ex=68fba3c0&is=68fa5240&hm=9b61cc26a90ebfe6cd9b840209d74b218abc376d92de940296d28fa37eebf397&
2023-01-22 21:13:06.776000-05:00,Reminder: Deadline to sign up for both courses is tonight!,
2023-01-23 00:29:17.546000-05:00,We're excited to announce that we have signed up 50 students for our Intro to Blockchain course and 22 students for our Blockchain Principles course!!! Looking forward to this semester with everyone!,
2023-01-30 23:03:15.695000-05:00,Hey ! The Research Branch is extremely excited to announce the launch of our Newsletter. The first edition will be launched tomorrow morning. Sign-up here --> https://sendfox.com/BoilerBlockchain Topics Include: - Macro-market Updates - Important Headlines From the Past Week - Updates about Boiler Blockchain - Case-Studies/Research Grants - And More,
2023-02-01 14:49:05.822000-05:00,"Hi all, **Reminder : **We will be having our first General Meeting of the semester **@ 7pm in BCHM105 !** For all new members, GMs aim to inform about what different verticals of the club have been pursuing and where we present new opportunities to get involved with. GMs are a great place to ask any questions blockchain or club related - and most importantly, vibe with other members! All are welcome, so come down with your friends! There will be food. If you CANNOT make it today, **drop me a message** on discord if you'd like to be updated on meeting highlights.",
2023-02-07 13:40:54.717000-05:00,"Hi all, Emily Shockley from Anchorage Digital will be coming to campus this coming Thursday! What is Anchorage Digital? Anchorage Digital is a platform that makes it possible for institutions to participate in the crypto ecosystem safely and securely. With partners across both the digital asset space and traditional finance, we focus on bringing the benefits of digital assets to legacy systems, their clients, and the world at large. From Emily: ""Interested in blockchain and crypto? Come learn more about Anchorage Digital, our future **Software Engineering Internship opportunities for Summer 2024**, and more about blockchain from one of our Software Engineers."" **Event Details: Path to Success Days Lawson Commons 1:30 - 4:30 PM (Eastern Time) Thursday, February 9th Tech Talk: Blockchain 101 LWSN 1142 5:30 - 6:30 PM (Eastern Time) Thursday, February 9th** Hope to see you there!",
2023-02-18 16:08:44.626000-05:00, The BUIDL team is working on the online Solana hackathon. Anyone interested in building on Solana can reach out to me. Find out more about the Hackathon here: https://solana.com/grizzlython,
2023-03-08 10:54:42.652000-05:00,Anyone interested in joining the Research Branch should come to the meeting tonight at 6:00PM in Krannert (Room 202),
2023-03-30 18:03:36.592000-04:00,Meeting link for today's workshop with Sei Labs! https://meet.google.com/ece-nada-obx,
2023-04-06 16:33:53.255000-04:00,Happening today!,https://cdn.discordapp.com/attachments/892451425039310913/1093634708262359191/b3ba01ec-8748-43a3-97df-9ea01fcef86e.jpg?ex=68fbe2b1&is=68fa9131&hm=4873cedefbf6d0f268341f10f91abb573bf2e65b32b104eb9713e0526dd75bc4&
2023-04-11 17:33:11.802000-04:00,Hi All! We have a workshop with Ballet today. Participants will receive a free physical cold storage wallet.,https://cdn.discordapp.com/attachments/892451425039310913/1095461573251829780/4deeec02-ba2a-4638-a80d-da09fc5d4a90.jpg?ex=68fbf097&is=68fa9f17&hm=f6af46baac20ceea59351aa4c5085f6d6efb212a8c23c36fedf0f777da1c9d6c&
2023-04-13 15:30:37.704000-04:00,Hi all! We have a speaker today from AragonDAO. Looking forward to seeing you all there! AragonDAO is the OG of all DAOs. We will have speaker Mike Myers to speak to us today. This is going to be a unique opportunity to talk to him. You can find the link to join virtually if you are not able to come in person.,https://cdn.discordapp.com/attachments/892451425039310913/1096155503568113806/IMG_1937.jpg?ex=68fbd3dd&is=68fa825d&hm=6c1536b3599b690307af42965f59daab9de6028ad1e02191000c3a2878d40066&
2023-04-17 10:00:41.696000-04:00,"Hi all, BoilerBlockchain has been invited by the Purdue Startup Expo to meet with Beeple - a Purdue alum that is one of the top 3 currently living visual artists in the world. An overview on ""Beeple"": Beeple, whose real name is Mike Winkelmann, is a digital artist who rose to fame in 2021 after a record-breaking NFT sale of his artwork for **$69 million**. He is known for creating stunning digital art pieces that often feature surreal and dystopian themes. He has been creating and sharing these pieces online every day for over a decade, amassing a large following on social media platforms such as Instagram and Twitter. One of Beeple's most notable works is ""Everydays: The First 5000 Days,"" a collage of his daily digital art pieces that was sold as an NFT (non-fungible token) at Christie's auction house in March 2021. The sale made Beeple **one of the highest-paid living artists in the world, and brought NFTs into the mainstream art world.** Beeple's digital art is not only visually stunning, but also often carries a powerful social commentary on issues such as politics, society, and technology. His work has been exhibited in galleries and museums around the world, and he has collaborated with major brands such as **Nike, Louis Vuitton, and Apple.** https://www.beeple-crap.com/ https://www.instagram.com/beeple_crap/?hl=en",
2023-04-17 10:02:53.295000-04:00,"**Event Details: If you would like to attend this exclusive event, it will take place on 230pm-330pm TOMORROW (18th of April), on campus. Date: Tuesday April 18th (tomorrow) Time: 2:30pm-3:30 pm Location: Purdue Memorial Union West Faculty Lounge ** ** REACT to this, to be added to the list of attendees **",
2023-04-17 10:04:14.138000-04:00,Purdue Startup Expo schedule:,https://cdn.discordapp.com/attachments/892451425039310913/1097522915534188625/Startup_Expo_23_Flyer_Digital_Public.pdf?ex=68fb875e&is=68fa35de&hm=8393a8a5755c5fddefc4e48101c90660067ec74e11d855f62fee582831c24c59&
2023-04-17 11:26:16.531000-04:00,RSVP here: https://purdue.ca1.qualtrics.com/jfe/form/SV_0OI81J1jg2gB2BM,
2023-04-17 19:36:45.549000-04:00,"Tune in to Lightning Labs now! ""The Lightning Labs team will be presenting to Purdue Blockchain and a few other clubs on the opportunities and possibilities in the Bitcoin/Lightning Network space. The presentation will include: - Bitcoin's unique value proposition - How the Lightning Network works - Resources to learn more about Bitcoin and Lightning - Bitcoin Careers - Opportunities in Open-Source Bitcoin Development - Build a Lightning Application (Demo) - Q&A (Ask us anything) https://meet.google.com/ppa-axxj-svu",
2023-04-18 12:14:02.221000-04:00,Hi all! Reminder that we are hosting Beeple at 230-330pm today! RSVP: https://purdue.ca1.qualtrics.com/jfe/form/SV_0OI81J1jg2gB2BM,
2023-04-18 14:23:04.826000-04:00,Starting soon!,
2023-04-18 20:55:24.247000-04:00,"Hi all! Tomorrow will be our panel with: **Anand Iyer **(Founder Canonical Crypto | Venture Partner at Lightspeed) **Santiago Torres Arias** (Purdue Assistant professor, ECE department | Research on Secure Systems, Applied Cryptography and Software Supply Chain security) **Tyler Diorio** (Purdue BME PhD Candidate | Brain Biomechanics Researcher, researchHub Foundation contributor) We will be discussing topics ranging from Crypto, DeFi, Startups, Industrial applications of Blockchain, and DeSci. Come with questions!!! RSVP below https://purdue.ca1.qualtrics.com/jfe/form/SV_d6WFBWxX2dh9jfM",
2023-08-29 12:48:46.081000-04:00," Anyone interested in the club, our courses, or just the blockchain industry in general please join us for one of the following callouts below!! All majors welcome and we look forward to seeing you there!",https://cdn.discordapp.com/attachments/892451425039310913/1146124295710449765/371367302_1346424326229967_1379320800019716001_n.jpg?ex=68fbadee&is=68fa5c6e&hm=889b491d05ed8d1b40b31a2853aaf732ad8b09a29b812776bb539d308cefdafd&
2023-09-01 14:57:32.291000-04:00,Call out #2 Tonight!,
2023-09-01 14:59:07.537000-04:00,Come down to LAWSON 1142 at 5:30pm to find out how you can get involved with one of the most innovative student organisations on campus!,
2023-09-01 15:01:25.062000-04:00,". We’ll be discussing our various verticals & recruitment pipeline: This is open to anyone that is interested to learn, and pursue opportunities for professional development in tech!",
2023-09-03 13:13:31.741000-04:00,"This is the info to get signed up for either of our courses!! If you are signing up please use the discount code as shown in the graphics, these courses are absolutely free and allow you get a blockchain certificate that is shown directly on your transcript. We hope to see you there!!","https://cdn.discordapp.com/attachments/892451425039310913/1147942465836433528/IMG_5284.jpg?ex=68fbb3bb&is=68fa623b&hm=01af513e931e449f7b6cb996f2da33aba36df48fab182e73206903126bf3fa4f&,https://cdn.discordapp.com/attachments/892451425039310913/1147942466176176180/IMG_5285.jpg?ex=68fbb3bb&is=68fa623b&hm=ef3704263d4e1a181cda524b70f141de9911990931ffca66a97ff4f3fe7f8e93&"
2023-09-07 12:47:58.606000-04:00, I'm excited to announce this semesters individual club meetings for the rest of the semester! Starting next week our research team is planning to meet every Tuesday night at 7:15pm in WANG 2599. Additionally the dev team will be meeting Thursday nights at 7:15pm in WANG 2599. We thank you for your patience and we're excited to get the teams back to work!,
2023-09-12 17:05:30.192000-04:00, REMINDER Both courses are starting up this week. 'Introduction to Blockchain' starts TONIGHT @ 6:00PM. 'Principles of Blockchain' starts Thursday @ 6:00PM. Both courses are held in Wang Hall Room 2599.,
2023-09-20 17:42:40.439000-04:00," From our friends at ApeCoin DAO ——> “From Hello, Boiler Blockchain We're thrilled to share a new opportunity that ApeCoin DAO is hosting through Nouns PropHouse! The newest Thank Ape Merchants Contest covers **$25,000 worth of prizes across 3 categories of merchants**- we would love to see your submission by September 25th (a couple days from now). Specifically, the Services & Digital Goods categories each have 6 prizes available to claim for about $1,000 each, while the Physical Goods category has 8 prizes to claim for about $1,700 each- and we're open to multiple submissions as well! Greatly looking forward to your submissions which can offer goods or services in exchange for payments in $APE. Check it out: - Submit here: Thank Ape PropHouse (https://prop.house/thank-ape) - Contest details in pinned post: Thank Ape (powered by ApeCoin) Twitter/X (https://twitter.com/ThankApe) Please reach out through X/Twitter direct messages to or email halina.com if you have any questions!”",
2024-01-15 11:51:07.998000-05:00," Hey all, just wanted to send out an update from the research branch! We are heading into the semester focusing diligently on our delegations and approaching an in-depth cornerstone project from our partners at A16Z. We will be doing extensive research in the field of AI deepfake mitigation and how blockchain can be used to tackle this pressing issue. If you are interested in business development, technical writing, or just want to learn more please come out to our first meeting **this Wednesday from 6:30 - 7:30 at Kran 230A**. Hope to see you there!!",
2024-08-21 13:24:22.842000-04:00,"Hey , tonight we are hosting a callout in **RAWLS 1062 from 6-7!! **We will be introducing the club, what we do, and how to get involved! If you are new to our organization or want to learn more please come out and join us or feel free to message me on discord to learn more. Additionally, we will be hosting a townhall on **8/27 from 6-7:30 at University Church**. If you are a returning member from previous semesters or a course graduate please come to this meeting so we can begin forming teams and getting started with this semester's projects (The townhall will be open to new members as well). We have some incredible projects lined up this semester with massive growth opportunities for members at all levels of the club. I hope you're as excited as I am for another great semester!",
2024-09-16 13:47:23.322000-04:00,"Good afternoon , this semester our project-based teams are going to be hosting weekly meetings on **Thursdays from 6:00PM-7:00PM in WANG 2599**. This meeting will allow teams to interact, learn about initiatives across the organization, and touch base for weekly progress. This will include our *Aptos Grant team, Dormdao, Hackathon teams, Research and Delegation, and other dev-centric projects.* If you are a part of these teams or want to learn more please join us. The first one will be this Thursday 9/19 and will continue weekly throughout the duration of the fall semester. Thank you and I hope to see you there!",
2024-10-30 16:49:18.977000-04:00,"Hey , a little caveat for this Thursday's meeting (10/31). After receiving many messages regarding Halloween celebrations tonight we will not be meeting. Many team members will be busy and it doesn’t make sense to hold a meeting for only those who can make it. Thanks and I look forward to resuming the all-hands meetings on 11/7.",
2024-10-31 15:11:16.311000-04:00,"Edit due to Halloween, have a great night gang! ^",
2024-11-11 16:00:35.347000-05:00,"Hey everyone, this week our Dormdao team will be pitching the protocol Goldfinch at 6:00PM and we will be conducting a subsequent DAO vote. Both teams will still be meeting but please be sure to arrive on time as people coming in during the pitch can distract presenters. The pitch should take a total of 10 minutes plus 5 minutes for questions and then the meeting will resume per usual. Thanks, and see you Thursday!",
2024-12-05 13:58:18.908000-05:00,"Hey , there will be no meeting tonight due to it being quiet week and the brutal weather. Most of our teams will be at work over the course of winter break so please don't lose contact with your team leaders or team members. We're at a super hot time in the industry right now and the innovation we create in the next couple months has the potential to be highly impactful. If you're interested in getting involved over the winter break and are not currently set to do so please reach out to myself, Soham, Vincent, or Eli. That said, I wanted to thank everyone for a phenomenal semester. This has been one of the most talented cohorts our organization has ever seen and our org presence has grown significantly in both the college blockchain space and the industry at large. We have continued to take on needle moving industry projects that further cement our expertise as an organization. These projects are only possible due to our fantastic team members and team leaders who have fostered a great culture of empowerment, learning, and innovation. So thank you to each and everyone who contributes to this community and makes Boiler Blockchain what it is. As for next semester we have a myriad of projects on the docket that are sure to put us at the frontier of this industry. Thanks again, good luck on upcoming finals and safe travels home!",
2025-01-16 09:47:16.252000-05:00,"Alright it is official! We have completed the semester schedule with dates + times for all meetings. We have a packed semester coming up include a robust partnership with Sonic labs for consulting and development, the Eth Denver hackathon, developers working on the leading blockchain x AI platform, growing our Dormdao Investment Portfolio, and much more! Attached is a flyer outlining our events, we can't wait to see you there!!",https://cdn.discordapp.com/attachments/892451425039310913/1329461979626344550/40_300_900.pdf_1.png?ex=68fb9174&is=68fa3ff4&hm=56ba2c5be6cd40471836710e27b17c5a21547e1dc28a177d3287bd2b3104bb97&
2025-01-23 17:06:56.573000-05:00,"Hey just reminder we will be hosting our callout this evening ^^^ this will be a great opportunity to meet our team, make some new friends, and see how you can get involved. The industry is on fire right now and we have a fantastic semester ahead. 7:00 In the Armory 101 ",
2025-01-30 14:36:12.056000-05:00,"Hey just a quick reminder for our weekly meeting happening tonight at 7:00PM in the Armory room 101, hope to see you there!",
2025-02-06 10:42:13.436000-05:00," it's another Thursday folks, pull up to Armory room 101 at 7:00PM if you want to retire your family early",
2025-02-13 10:41:30.658000-05:00, wanna know why your uncle keeps telling you to buy XRP? Hop on over to the Armory 101 at 7:00PM for more than just unsolicited trading advice,
2025-02-20 11:59:14.347000-05:00," Do you want to make it to the pearly gates of Valhalla? Surprise, $XRP and $DOGE aren't gonna get you there but coming to the Armory 101 at 7:00 might be the key",
2025-02-27 10:34:37.914000-05:00,"Hey there will be no meeting tonight since a large portion of the team is in Denver currently. Next week we'll pick up where we left off, I'm sure the gang will have great stories from the mile-high city!",
2025-03-03 16:38:20.873000-05:00," if you're a cracked dev especially at front-end please check out a presentation from Klyra Finance tonight about their start-up and the talent they are hoping to source from here at Purdue! They are a fast paced company building infrastructure for the next generation of decentralized exchanges. If all this sounds interesting please head over to WANG 2579 at 5:00 tonight, Klyra's presentation will begin at 5:30!",
2025-03-06 10:25:32.329000-05:00,"Alright it's another Thursday and you know what that means! Please help us in welcoming back Boiler Blockchain's finest as they have returned gallantly from Denver. 7:00, Armory 101, you know the drill ",
2025-03-13 09:34:21.468000-04:00,hey wanna make sure you're not driving a honda civic till your mid 50s? pull up to the Armory 101 tonight at 7:00PM,
2025-03-27 08:20:48.399000-04:00, it's another beautiful thursday and you know what that means... see you at 7:00 in the armory!,https://cdn.discordapp.com/attachments/892451425039310913/1354792271303803053/Add_a_subheading.png?ex=68fb6f20&is=68fa1da0&hm=ee866ea56aaba6659715ace625bb4074d39417ff65fbc48e4c735e48215eaab0&
2025-04-03 08:29:31.313000-04:00,"First Dormdao pitch of the semester , come to the armory room 101 for some sweet, sweet investment alpha!!",
2025-04-10 11:13:47.530000-04:00,"Another Thursday, another pitch, catch teaching us how to evaluate the future of decentralized exchanges in Armory 101 at 7:00!",
2025-04-17 10:36:33.389000-04:00,"Good morning , if you're tired of living in a cardboard box like Diogenes come out to Armory 101 at 7:00PM tonight to achieve RWA enlightenment ",
